PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
02-29-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.219764,11.493423,,10.326697,10.611334,11.004134,15.905261,22.613307,28.45836,24.038892,21.553722,21.045885,21.895146,18.162448,20.816745,18.145693,17.194032,19.973795,20.951247,29.813914,27.671855,22.720936,20.106121,16.132565,16.458994
03-01-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.829084,18.495291,,18.547439,18.051913,19.456032,22.510151,90.541185,25.316211,25.320877,23.031173,24.224433,21.727736,21.555855,19.672284,19.498124,19.324112,19.201404,21.865534,48.973511,57.437835,22.643933,22.198124,19.946583,18.994476
03-02-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,16.964671,14.231129,,14.332135,12.580046,16.673498,23.242032,25.583055,27.205055,42.445886,24.365573,24.763648,25.102672,23.098644,23.001371,22.944524,19.956377,21.03952,18.844971,32.179245,29.676442,33.9559,56.880321,26.779901,43.746792
03-03-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.093567,15.529715,,16.185228,12.352262,17.338097,17.013126,28.795976,27.725472,23.899204,25.230478,23.878093,24.008996,26.243827,23.617294,22.934878,22.88033,24.647974,23.750686,25.522213,24.118078,25.116582,40.641428,21.407514,22.180077
01-27-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.957842,21.254923,,21.239235,21.007116,20.938346,21.837577,23.118733,25.214421,25.607976,25.699873,26.126836,26.555281,27.264719,26.453667,26.359978,26.117237,25.81912,28.914322,31.997522,26.331312,27.987845,25.080851,22.882761,22.247027
01-28-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.126775,21.122509,,18.77571,18.97691,19.630791,17.587492,21.351117,22.958436,23.455428,22.635177,23.499398,23.264598,23.098479,22.222168,21.210064,21.075516,22.096672,22.33559,22.364123,22.883086,22.912568,22.105975,21.450745,20.358256
01-29-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.197693,21.231367,,21.221263,20.839589,20.734849,20.89313,21.37993,22.277605,22.320449,22.513753,22.242345,21.75913,21.597175,21.343041,21.304923,21.239752,22.125056,23.070864,24.283589,24.077499,24.144033,24.127588,22.730596,21.345307
01-30-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.275618,21.230137,,21.029071,20.903012,20.962908,22.204642,24.047359,29.284007,27.972613,26.834598,25.090154,25.064598,24.358406,23.624539,23.72331,23.670199,22.889786,22.60466,26.220762,25.713754,25.954777,24.53288,23.005694,17.40691
01-31-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,14.779753,20.74688,,14.401428,16.209487,11.732598,15.762866,23.748422,28.635311,24.854494,24.656672,24.524538,23.873693,23.61756,23.655382,22.930183,21.725768,23.500257,27.357606,26.200953,25.570434,24.921161,23.145826,21.498241,20.021914
02-01-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.006937,19.9819,,19.330122,19.16267,19.76627,20.932567,23.766478,26.27876,24.240211,23.719278,26.994024,23.898048,22.447663,22.224982,21.385989,21.071782,21.621322,34.46426,28.849501,24.507441,24.55036,22.431412,20.952345,19.152567
02-02-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.891974,19.273381,,18.956255,18.895825,19.859426,20.795871,25.524229,27.579858,25.352671,23.715234,23.683293,23.367693,22.415575,21.458212,21.074019,20.924626,22.117901,25.496153,31.399931,29.599293,27.860537,27.140538,23.774108,22.754863
11-25-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.941395,19.31704,,18.349676,19.187676,19.419306,20.093232,21.520433,22.323322,23.045663,23.626833,23.056048,23.707736,22.847544,22.655499,22.448151,22.811218,25.727648,37.900391,28.064433,23.059026,23.304003,22.994033,22.604018,20.218478
11-26-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.224652,15.915717,,16.547983,15.811078,15.755351,20.322326,19.629744,21.068782,25.207505,22.794884,23.561886,23.969397,22.851515,22.033707,21.863737,21.83467,22.902522,26.335975,24.422255,24.013825,23.843292,23.160714,22.344877,21.414714
11-27-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.337322,21.665026,,21.568537,21.969307,21.903144,22.434019,23.958315,26.464864,23.225708,23.263841,22.514152,22.305441,21.9047,21.553914,22.086493,22.008537,22.92833,28.14882,29.375668,33.233832,29.499667,24.382716,21.443603,19.999323
11-28-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.984776,14.387753,,10.302686,17.950521,20.49181,23.040138,23.708556,32.032499,34.200039,54.291246,31.478929,29.392424,30.648646,26.173609,25.1546,25.528363,36.488413,33.042069,39.175848,36.459891,28.404027,24.940824,19.621295,19.027072
11-29-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.15562,19.6487,,13.191847,14.768112,20.894685,21.317071,32.629936,29.07284,29.174837,31.407518,39.226053,56.500767,36.009914,35.945465,24.155076,25.441737,27.089797,30.064584,42.693356,42.578304,30.149353,28.566818,22.366032,19.730551
11-30-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.533529,19.200699,,19.196417,19.41144,20.552091,21.61107,24.93513,26.946226,24.921174,27.581752,28.105792,28.867421,29.298468,28.577935,26.825696,26.129232,24.439769,28.293087,37.037085,26.572669,26.78636,23.077455,20.118343,19.876847
12-01-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.400966,17.332284,,16.066506,17.159988,18.963144,21.115989,23.623602,25.841369,24.829294,25.346583,25.059813,24.148139,24.770227,24.783737,24.565337,24.776092,30.714033,38.968907,38.819483,38.865008,47.31069,42.227038,67.710031,23.545927
05-06-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.545292,22.071604,,22.233115,22.712063,22.21227,24.407011,23.970848,23.727663,28.3423,28.853707,28.194537,26.081529,24.779397,23.807308,24.066019,23.7759,23.601456,24.819011,25.45987,25.561751,28.465781,30.061411,24.535736,22.25501
05-07-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.350669,21.294448,,20.73467,21.282714,21.025692,20.707929,20.792922,21.673692,22.723188,23.403381,23.320225,23.154314,22.654136,22.118684,21.93024,22.168699,22.696314,23.419588,24.457277,27.421204,26.189011,29.224567,23.899989,21.875604
05-08-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.435411,22.210478,,21.885352,21.751767,24.868968,27.699531,21.364918,30.080464,31.723073,43.974171,31.065324,32.304835,38.078111,33.136465,46.343371,23.42684,31.807769,27.383665,30.559015,25.433756,24.111166,26.563424,25.839581,23.280821
05-09-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,17.063983,24.117653,,14.323942,-1.747444,-2.05185,0.301348,25.820739,30.427118,27.338302,33.738569,39.053326,33.283606,51.332047,43.798083,87.805331,55.545301,33.99955,43.036314,53.046042,25.959355,27.65168,27.62466,26.615383,23.420773
05-10-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.237307,22.077826,,22.610655,22.657885,23.241189,26.229071,32.862539,28.721872,30.629486,32.122651,38.967805,68.367563,76.362135,43.850377,40.760333,33.322287,34.346431,32.044783,34.290436,25.95029,27.90362,29.491946,27.453515,25.438107
05-11-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.572305,20.36453,,22.051085,21.455071,22.341234,23.87922,32.541934,38.207579,52.476686,30.921823,36.212698,32.995291,64.889933,61.440218,67.438258,45.573968,31.485432,44.423388,24.467458,22.665635,26.883561,38.905372,68.000477,49.552746
